Team Alt Name,Opp Alt Name,GameID,Season,Week,Date,teamgame,Conf,BCS?,Team,W,L,TeamCoach,vs/@,oConf,oBCS?,Opp,oW,oL,OppCoach,OT?,Pts,oPts,diff,Res,W,L,cW,cL,O/U#,o/u,Spread,Sw/l,Bowl,Attend.,,APwk,wkAP,COwk,wkCO,BCSwk,wkBCS,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Team,AP,Apv,CO,Cov,BCS,w,l,,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Opp,AP,Apv,CO,Cov,BCS,w,l,,#Plays,ptspplay,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD,,#Plays,playppt,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD
Washington State,Oregon,Oregon-Wash St,2010,6,10/9/10,6,Pac10,BCS,Wash St,2,10,Paul Wulff,vs,Pac10,BCS,Oregon,12,1,Chip Kelly,,23,43,-20,L,0,1,0,1,69.5,u,36.0,W,,"24,768",,5,6,5,6,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,4,Wash St,NR,NR,NR,NR,NR,1,5,,11,11,3,3,3,1379,3,1300,NR,5,0,Oregon,2,1427,2,1388,NR,6,0,,76,0.3,4.4,2.5,6.1,36,139,48,91,2,40,25,1,245,1,336,25,245,1,5,225,45.0,1,3,0,3,50,0,3,2,2,1,0,1,1,0,6,14,1,21,5,31,1,0,0,0,0,2,10,0,,67,0.6,8.3,6.0,11.5,39,252,18,234,3,28,22,0,322,2,556,22,322,2,2,99,49.5,4,83,1,3,48,0,6,5,5,1,1,0,0,0,8,11,3,22,9,80,4,3,1,7,0,0,0,0
Rice,UTEP,Rice-UTEP,2010,6,10/9/10,6,CUSA,non,Rice,4,8,David Bailiff,@,CUSA,non,UTEP,6,7,Mike Price,,24,44,-20,L,0,1,0,1,58.0,o,9.5,L,,"28,955",,5,6,5,6,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,4,Rice,NR,NR,NR,NR,NR,1,5,,NR,NR,NR,NR,NR,NR,NR,NR,NR,4,1,UTEP,NR,NR,NR,NR,NR,5,1,,76,0.3,4.5,3.7,5.3,38,177,36,141,0,38,23,0,201,3,342,23,201,3,7,339,48.4,2,50,0,6,120,0,3,3,3,0,0,1,1,0,8,10,2,20,9,94,4,0,0,0,0,0,0,0,,68,0.6,6.8,3.9,9.9,35,142,6,136,3,33,19,0,327,3,463,19,327,3,5,278,55.6,4,36,0,5,139,0,6,6,6,0,0,0,0,0,6,13,4,23,6,50,1,0,0,0,0,0,0,0
UTEP,Rice,Rice-UTEP,2010,6,10/9/10,6,CUSA,non,UTEP,6,7,Mike Price,vs,CUSA,non,Rice,4,8,David Bailiff,,44,24,20,W,1,0,1,0,58.0,o,-9.5,W,,"28,955",,5,6,5,6,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,4,1,UTEP,NR,NR,NR,NR,NR,5,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,4,Rice,NR,NR,NR,NR,NR,1,5,,68,0.6,6.8,3.9,9.9,35,142,6,136,3,33,19,0,327,3,463,19,327,3,5,278,55.6,4,36,0,5,139,0,6,6,6,0,0,0,0,0,6,13,4,23,6,50,1,0,0,0,0,0,0,0,,76,0.3,4.5,3.7,5.3,38,177,36,141,0,38,23,0,201,3,342,23,201,3,7,339,48.4,2,50,0,6,120,0,3,3,3,0,0,1,1,0,8,10,2,20,9,94,4,0,0,0,0,0,0,0
South Florida,Syracuse,S Florida-Syracuse,2010,6,10/9/10,5,BigEast,BCS,S Florida,8,5,Skip Holtz,vs,BigEast,BCS,Syracuse,8,5,Doug Marrone,,9,13,-4,L,0,1,0,1,45.0,u,-8.0,L,,"41,917",,5,6,5,6,,,NR,45,NR,NR,NR,NR,NR,NR,NR,3,1,S Florida,NR,NR,NR,NR,NR,3,2,,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,1,Syracuse,NR,NR,NR,NR,NR,4,1,,60,0.2,3.7,2.6,5.4,37,134,39,95,0,23,9,2,124,0,219,9,124,0,5,181,36.2,1,9,0,4,141,1,1,1,0,0,0,2,1,0,4,7,2,13,4,20,1,0,0,0,0,0,0,0,,65,0.2,4.7,4.1,5.9,43,208,30,178,0,22,12,0,129,1,307,12,129,1,6,243,40.5,1,-1,0,3,70,0,1,1,1,0,0,2,2,0,12,5,0,17,12,87,1,1,2,24,0,0,0,0
Syracuse,South Florida,S Florida-Syracuse,2010,6,10/9/10,5,BigEast,BCS,Syracuse,8,5,Doug Marrone,@,BigEast,BCS,S Florida,8,5,Skip Holtz,,13,9,4,W,1,0,1,0,45.0,u,8.0,W,,"41,917",,5,6,5,6,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,1,Syracuse,NR,NR,NR,NR,NR,4,1,,NR,45,NR,NR,NR,NR,NR,NR,NR,3,1,S Florida,NR,NR,NR,NR,NR,3,2,,65,0.2,4.7,4.1,5.9,43,208,30,178,0,22,12,0,129,1,307,12,129,1,6,243,40.5,1,-1,0,3,70,0,1,1,1,0,0,2,2,0,12,5,0,17,12,87,1,1,2,24,0,0,0,0,,60,0.2,3.7,2.6,5.4,37,134,39,95,0,23,9,2,124,0,219,9,124,0,5,181,36.2,1,9,0,4,141,1,1,1,0,0,0,2,1,0,4,7,2,13,4,20,1,0,0,0,0,0,0,0
SMU,Tulsa,SMU-Tulsa,2010,6,10/9/10,6,CUSA,non,SMU,7,7,June Jones,vs,CUSA,non,Tulsa,10,3,Todd Graham,,21,18,3,W,1,0,1,0,64.0,u,-6.5,L,,"19,329",,5,6,5,6,,,46,49,NR,NR,NR,NR,NR,NR,NR,3,2,SMU,NR,NR,NR,NR,NR,4,2,,NR,NR,24,27,NR,NR,NR,NR,NR,3,2,Tulsa,NR,NR,NR,NR,NR,3,3,,65,0.3,7.5,4.2,9.5,25,123,17,106,0,40,27,1,381,3,487,27,381,3,5,192,38.4,2,4,0,2,25,0,3,3,3,0,0,0,0,0,6,17,0,23,5,49,1,1,0,0,0,0,0,0,,73,0.2,5.0,4.2,5.6,32,146,11,135,2,41,20,0,229,0,364,20,229,0,4,187,46.8,4,28,0,4,94,0,2,1,1,1,1,3,1,0,5,14,2,21,3,30,0,0,1,0,0,0,0,0
Tulsa,SMU,SMU-Tulsa,2010,6,10/9/10,6,CUSA,non,Tulsa,10,3,Todd Graham,@,CUSA,non,SMU,7,7,June Jones,,18,21,-3,L,0,1,0,1,64.0,u,6.5,W,,"19,329",,5,6,5,6,,,NR,NR,24,27,NR,NR,NR,NR,NR,3,2,Tulsa,NR,NR,NR,NR,NR,3,3,,46,49,NR,NR,NR,NR,NR,NR,NR,3,2,SMU,NR,NR,NR,NR,NR,4,2,,73,0.2,5.0,4.2,5.6,32,146,11,135,2,41,20,0,229,0,364,20,229,0,4,187,46.8,4,28,0,4,94,0,2,1,1,1,1,3,1,0,5,14,2,21,3,30,0,0,1,0,0,0,0,0,,65,0.3,7.5,4.2,9.5,25,123,17,106,0,40,27,1,381,3,487,27,381,3,5,192,38.4,2,4,0,2,25,0,3,3,3,0,0,0,0,0,6,17,0,23,5,49,1,1,0,0,0,0,0,0
Stanford,USC,Stanford-USC,2010,6,10/9/10,6,Pac10,BCS,Stanford,12,1,Jim Harbaugh,vs,Pac10,BCS,USC,8,5,Lane Kiffin,,37,35,2,W,1,0,1,0,60.0,o,-10.0,L,,"51,607",,5,6,5,6,,,27,32,4,4,16,663,18,448,NR,4,1,Stanford,14,732,15,618,NR,5,1,,14,NR,NR,NR,28,52,NR,NR,NR,4,1,USC,NR,NR,NR,NR,NR,4,2,,60,0.6,8.0,5.4,11.9,36,210,17,193,2,24,20,0,285,3,478,20,285,3,1,54,54.0,1,1,0,6,205,0,5,5,4,0,0,1,1,0,10,13,4,27,3,10,3,3,0,0,0,1,5,0,,74,0.5,6.7,3.9,8.5,28,119,11,108,2,46,28,0,390,3,498,28,390,3,2,90,45.0,1,15,0,3,86,0,5,5,5,0,0,0,0,0,7,17,0,24,8,53,1,1,0,0,0,1,7,0
USC,Stanford,Stanford-USC,2010,6,10/9/10,6,Pac10,BCS,USC,8,5,Lane Kiffin,@,Pac10,BCS,Stanford,12,1,Jim Harbaugh,,35,37,-2,L,0,1,0,1,60.0,o,10.0,W,,"51,607",,5,6,5,6,,,14,NR,NR,NR,28,52,NR,NR,NR,4,1,USC,NR,NR,NR,NR,NR,4,2,,27,32,4,4,16,663,18,448,NR,4,1,Stanford,14,732,15,618,NR,5,1,,74,0.5,6.7,3.9,8.5,28,119,11,108,2,46,28,0,390,3,498,28,390,3,2,90,45.0,1,15,0,3,86,0,5,5,5,0,0,0,0,0,7,17,0,24,8,53,1,1,0,0,0,1,7,0,,60,0.6,8.0,5.4,11.9,36,210,17,193,2,24,20,0,285,3,478,20,285,3,1,54,54.0,1,1,0,6,205,0,5,5,4,0,0,1,1,0,10,13,4,27,3,10,3,3,0,0,0,1,5,0
TCU,Wyoming,TCU-Wyoming,2010,6,10/9/10,6,MtnWest,non,TCU,13,0,Gary Patterson,vs,MtnWest,non,Wyoming,3,9,Dave Christensen,,45,0,45,W,1,0,1,0,49.0,u,-34.5,W,,"38,081",,5,6,5,6,,,6,7,2,2,5,1250,5,1187,NR,5,0,TCU,4,1304,5,1213,NR,6,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,3,Wyoming,NR,NR,NR,NR,NR,2,4,,64,0.7,9.0,6.6,15.6,46,308,3,305,3,18,15,0,281,3,586,15,281,3,2,91,45.5,3,48,0,1,26,0,6,6,6,0,0,1,1,0,16,11,0,27,11,84,0,0,1,0,0,0,0,0,,45,0.0,4.2,2.7,6.8,28,82,7,75,0,17,11,1,116,0,191,11,116,0,8,371,46.4,0,0,0,6,120,0,0,0,0,0,0,0,0,0,2,5,1,8,5,30,0,0,0,0,0,0,0,0
Wyoming,TCU,TCU-Wyoming,2010,6,10/9/10,6,MtnWest,non,Wyoming,3,9,Dave Christensen,@,MtnWest,non,TCU,13,0,Gary Patterson,,0,45,-45,L,0,1,0,1,49.0,u,34.5,L,,"38,081",,5,6,5,6,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,3,Wyoming,NR,NR,NR,NR,NR,2,4,,6,7,2,2,5,1250,5,1187,NR,5,0,TCU,4,1304,5,1213,NR,6,0,,45,0.0,4.2,2.7,6.8,28,82,7,75,0,17,11,1,116,0,191,11,116,0,8,371,46.4,0,0,0,6,120,0,0,0,0,0,0,0,0,0,2,5,1,8,5,30,0,0,0,0,0,0,0,0,,64,0.7,9.0,6.6,15.6,46,308,3,305,3,18,15,0,281,3,586,15,281,3,2,91,45.5,3,48,0,1,26,0,6,6,6,0,0,1,1,0,16,11,0,27,11,84,0,0,1,0,0,0,0,0
UNLV,West Virginia,UNLV-W Virginia,2010,6,10/9/10,6,MtnWest,non,UNLV,2,11,Bobby Hauck,@,BigEast,BCS,W Virginia,9,4,Bill Stewart,,10,49,-39,L,0,1,0,0,48.0,o,27.5,L,,"58,234",,5,6,5,6,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,4,UNLV,NR,NR,NR,NR,NR,1,5,,25,24,32,29,26,83,28,40,NR,3,1,W Virginia,25,141,25,88,NR,4,1,,72,0.1,3.8,2.4,5.6,40,137,41,96,0,32,20,2,180,1,276,20,180,1,5,216,43.2,2,7,0,6,105,0,1,1,1,0,0,1,1,0,5,7,3,15,4,43,2,0,0,0,0,0,0,0,,53,0.9,8.4,6.6,11.3,33,236,17,219,4,20,13,0,226,3,445,13,226,3,5,222,44.4,1,6,0,0,0,0,7,7,7,0,0,0,0,0,9,6,1,16,8,68,1,0,2,35,0,0,0,0
West Virginia,UNLV,UNLV-W Virginia,2010,6,10/9/10,5,BigEast,BCS,W Virginia,9,4,Bill Stewart,vs,MtnWest,non,UNLV,2,11,Bobby Hauck,,49,10,39,W,1,0,0,0,48.0,o,-27.5,W,,"58,234",,5,6,5,6,,,25,24,32,29,26,83,28,40,NR,3,1,W Virginia,25,141,25,88,NR,4,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,4,UNLV,NR,NR,NR,NR,NR,1,5,,53,0.9,8.4,6.6,11.3,33,236,17,219,4,20,13,0,226,3,445,13,226,3,5,222,44.4,1,6,0,0,0,0,7,7,7,0,0,0,0,0,9,6,1,16,8,68,1,0,2,35,0,0,0,0,,72,0.1,3.8,2.4,5.6,40,137,41,96,0,32,20,2,180,1,276,20,180,1,5,216,43.2,2,7,0,6,105,0,1,1,1,0,0,1,1,0,5,7,3,15,4,43,2,0,0,0,0,0,0,0
Marshall,Central Florida,Marshall-UCF,2010,7,10/13/10,6,CUSA,non,Marshall,5,7,"John ""Doc"" Holliday",vs,CUSA,non,UCF,11,3,George O'Leary,,14,35,-21,L,0,1,0,1,45.0,o,6.0,L,,"23,601",,6,7,6,7,0,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,4,Marshall,NR,NR,NR,NR,NR,1,5,,46,NR,21,20,NR,NR,NR,NR,NR,3,2,UCF,NR,NR,NR,NR,NR,4,2,,57,0.2,4.6,1.9,6.1,20,55,18,37,0,37,17,1,226,2,263,17,226,2,8,361,45.1,1,7,0,6,105,0,2,2,2,0,0,0,0,0,3,9,0,12,4,55,2,0,1,0,0,0,0,0,,74,0.5,5.2,4.7,6.6,53,268,20,248,4,21,11,1,138,0,386,11,138,0,3,117,39.0,2,13,0,3,89,0,5,5,5,0,0,1,0,0,11,10,2,23,1,2,3,0,1,42,1,0,0,0
Central Florida,Marshall,Marshall-UCF,2010,7,10/13/10,6,CUSA,non,UCF,11,3,George O'Leary,@,CUSA,non,Marshall,5,7,"John ""Doc"" Holliday",,35,14,21,W,1,0,1,0,45.0,o,-6.0,W,,"23,601",,6,7,6,7,0,1,46,NR,21,20,NR,NR,NR,NR,NR,3,2,UCF,NR,NR,NR,NR,NR,4,2,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,4,Marshall,NR,NR,NR,NR,NR,1,5,,74,0.5,5.2,4.7,6.6,53,268,20,248,4,21,11,1,138,0,386,11,138,0,3,117,39.0,2,13,0,3,89,0,5,5,5,0,0,1,0,0,11,10,2,23,1,2,3,0,1,42,1,0,0,0,,57,0.2,4.6,1.9,6.1,20,55,18,37,0,37,17,1,226,2,263,17,226,2,8,361,45.1,1,7,0,6,105,0,2,2,2,0,0,0,0,0,3,9,0,12,4,55,2,0,1,0,0,0,0,0
South Florida,West Virginia,S Florida-W Virginia,2010,7,10/14/10,6,BigEast,BCS,S Florida,8,5,Skip Holtz,@,BigEast,BCS,W Virginia,9,4,Bill Stewart,,6,20,-14,L,0,1,0,1,45.0,u,10.5,L,,"54,955",,6,7,6,7,0,1,NR,45,NR,NR,NR,NR,NR,NR,NR,3,2,S Florida,NR,NR,NR,NR,NR,3,3,,25,24,32,29,25,141,25,88,NR,4,1,W Virginia,20,346,19,323,20,5,1,,62,0.1,3.3,2.2,4.2,29,102,37,65,0,33,22,3,137,0,202,22,137,0,6,204,34.0,1,1,0,4,111,0,0,0,0,0,0,2,2,0,6,6,1,13,3,25,1,0,0,0,0,0,0,0,,64,0.3,4.7,2.4,7.1,33,112,33,79,0,31,24,0,219,2,298,24,219,2,8,298,37.3,1,-1,0,3,63,0,2,2,2,0,0,2,2,0,7,8,0,15,2,19,0,0,3,35,0,0,0,0
West Virginia,South Florida,S Florida-W Virginia,2010,7,10/14/10,6,BigEast,BCS,W Virginia,9,4,Bill Stewart,vs,BigEast,BCS,S Florida,8,5,Skip Holtz,,20,6,14,W,1,0,1,0,45.0,u,-10.5,W,,"54,955",,6,7,6,7,0,1,25,24,32,29,25,141,25,88,NR,4,1,W Virginia,20,346,19,323,20,5,1,,NR,45,NR,NR,NR,NR,NR,NR,NR,3,2,S Florida,NR,NR,NR,NR,NR,3,3,,64,0.3,4.7,2.4,7.1,33,112,33,79,0,31,24,0,219,2,298,24,219,2,8,298,37.3,1,-1,0,3,63,0,2,2,2,0,0,2,2,0,7,8,0,15,2,19,0,0,3,35,0,0,0,0,,62,0.1,3.3,2.2,4.2,29,102,37,65,0,33,22,3,137,0,202,22,137,0,6,204,34.0,1,1,0,4,111,0,0,0,0,0,0,2,2,0,6,6,1,13,3,25,1,0,0,0,0,0,0,0
Cincinnati,Louisville,Cincinnati-Louisville,2010,7,10/15/10,6,BigEast,BCS,Cincinnati,4,8,Butch Jones,@,BigEast,BCS,Louisville,7,6,Charlie Strong,,35,27,8,W,1,0,1,0,57.0,o,-2.5,W,,"55,106",,6,7,6,7,0,1,26,26,NR,NR,NR,NR,NR,NR,NR,2,3,Cincinnati,NR,NR,NR,NR,NR,3,3,,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,2,Louisville,NR,NR,NR,NR,NR,3,3,,61,0.6,7.4,5.4,9.8,33,187,9,178,0,28,18,2,275,5,453,18,275,5,2,89,44.5,0,0,0,6,98,0,5,5,5,0,0,0,0,0,9,11,2,22,5,51,1,1,0,0,0,0,0,0,,62,0.4,7.0,6.7,7.4,34,246,18,228,2,28,19,0,206,1,434,19,206,1,3,100,33.3,1,-2,0,6,141,0,3,3,3,0,0,4,2,0,6,13,0,19,8,73,0,0,2,3,0,0,0,0
Louisville,Cincinnati,Cincinnati-Louisville,2010,7,10/15/10,6,BigEast,BCS,Louisville,7,6,Charlie Strong,vs,BigEast,BCS,Cincinnati,4,8,Butch Jones,,27,35,-8,L,0,1,0,1,57.0,o,2.5,L,,"55,106",,6,7,6,7,0,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,2,Louisville,NR,NR,NR,NR,NR,3,3,,26,26,NR,NR,NR,NR,NR,NR,NR,2,3,Cincinnati,NR,NR,NR,NR,NR,3,3,,62,0.4,7.0,6.7,7.4,34,246,18,228,2,28,19,0,206,1,434,19,206,1,3,100,33.3,1,-2,0,6,141,0,3,3,3,0,0,4,2,0,6,13,0,19,8,73,0,0,2,3,0,0,0,0,,61,0.6,7.4,5.4,9.8,33,187,9,178,0,28,18,2,275,5,453,18,275,5,2,89,44.5,0,0,0,6,98,0,5,5,5,0,0,0,0,0,9,11,2,22,5,51,1,1,0,0,0,0,0,0
Air Force,San Diego State,Air Force-San Diego St,2010,7,10/16/10,7,MtnWest,non,Air Force,10,4,Troy Calhoun,@,MtnWest,non,San Diego St,9,4,Brady Hoke,,25,27,-2,L,0,1,0,1,53.5,u,-1.0,L,,"28,178",,6,7,6,7,0,1,NR,NR,35,34,23,187,23,151,NR,5,1,Air Force,37,1,33,5,NR,5,2,,NR,NR,28,28,NR,NR,NR,NR,NR,3,2,San Diego St,NR,NR,NR,NR,NR,4,2,,92,0.3,5.3,5.0,5.8,62,324,12,312,2,30,13,1,175,1,487,13,175,1,3,125,41.7,1,7,0,4,82,0,3,1,1,2,0,3,2,0,20,9,0,29,5,30,0,0,1,0,0,0,0,0,,58,0.5,7.8,6.6,9.1,31,222,17,205,2,27,14,1,247,1,452,14,247,1,4,173,43.3,0,0,0,4,92,0,3,3,3,0,0,3,2,0,8,8,0,16,5,50,0,0,1,4,0,0,0,0
San Diego State,Air Force,Air Force-San Diego St,2010,7,10/16/10,6,MtnWest,non,San Diego St,9,4,Brady Hoke,vs,MtnWest,non,Air Force,9,4,Troy Calhoun,,27,25,2,W,1,0,1,0,53.5,u,1.0,W,,"28,178",,6,7,6,7,0,1,NR,NR,28,28,NR,NR,NR,NR,NR,3,2,San Diego St,NR,NR,NR,NR,NR,4,2,,NR,NR,35,34,23,187,23,151,NR,5,1,Air Force,37,1,33,5,NR,5,2,,58,0.5,7.8,6.6,9.1,31,222,17,205,2,27,14,1,247,1,452,14,247,1,4,173,43.3,0,0,0,4,92,0,3,3,3,0,0,3,2,0,8,8,0,16,5,50,0,0,1,4,0,0,0,0,,92,0.3,5.3,5.0,5.8,62,324,12,312,2,30,13,1,175,1,487,13,175,1,3,125,41.7,1,7,0,4,82,0,3,1,1,2,0,3,2,0,20,9,0,29,5,30,0,0,1,0,0,0,0,0
Akron,Ohio,Akron-Ohio,2010,7,10/16/10,7,MAC,non,Akron,1,11,Rob Ianello,@,MAC,non,Ohio,8,5,Frank Solich,,10,38,-28,L,0,1,0,1,48.0,n,16.5,L,,"21,645",,6,7,6,7,0,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,6,Akron,NR,NR,NR,NR,NR,0,7,,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,3,Ohio,NR,NR,NR,NR,NR,4,3,,58,0.2,4.8,3.0,6.1,24,111,39,72,0,34,21,2,206,1,278,21,206,1,5,187,37.4,0,0,0,7,110,0,1,1,1,0,0,2,1,0,4,9,2,15,6,40,1,0,1,3,0,0,0,0,,67,0.6,7.4,5.9,10.3,44,265,7,258,3,23,16,1,238,2,496,16,238,2,0,0,0.0,3,45,0,2,44,0,5,5,5,0,0,2,1,0,13,11,0,24,5,38,0,0,2,10,0,0,0,0
Ohio,Akron,Akron-Ohio,2010,7,10/16/10,7,MAC,non,Ohio,8,5,Frank Solich,vs,MAC,non,Akron,1,11,Rob Ianello,,38,10,28,W,1,0,1,0,48.0,n,-16.5,W,,"21,645",,6,7,6,7,0,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,3,Ohio,NR,NR,NR,NR,NR,4,3,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,6,Akron,NR,NR,NR,NR,NR,0,7,,67,0.6,7.4,5.9,10.3,44,265,7,258,3,23,16,1,238,2,496,16,238,2,0,0,0.0,3,45,0,2,44,0,5,5,5,0,0,2,1,0,13,11,0,24,5,38,0,0,2,10,0,0,0,0,,58,0.2,4.8,3.0,6.1,24,111,39,72,0,34,21,2,206,1,278,21,206,1,5,187,37.4,0,0,0,7,110,0,1,1,1,0,0,2,1,0,4,9,2,15,6,40,1,0,1,3,0,0,0,0
Alabama,Mississippi,Alabama-Mississippi,2010,7,10/16/10,7,SEC,BCS,Alabama,10,3,Nick Saban,vs,SEC,BCS,Mississippi,4,8,Houston Nutt,,23,10,13,W,1,0,1,0,55.0,u,-20.5,L,,"101,821",,6,7,6,7,0,1,1,1,10,11,8,1021,8,1029,NR,5,1,Alabama,7,1121,7,1085,8,6,1,,41,30,NR,NR,NR,NR,NR,NR,NR,3,2,Mississippi,NR,NR,NR,NR,NR,3,3,,59,0.4,5.4,2.9,8.8,34,126,26,100,0,25,17,0,219,2,319,17,219,2,5,191,38.2,6,125,0,3,74,0,2,2,2,0,0,4,3,0,7,6,2,15,8,52,2,1,1,4,0,0,0,0,,66,0.2,3.7,5.1,2.8,26,146,13,133,0,40,18,1,110,1,243,18,110,1,8,383,47.9,0,0,0,4,77,0,1,1,1,0,0,1,1,0,6,7,0,13,12,106,0,0,0,0,0,0,0,0
Mississippi,Alabama,Alabama-Mississippi,2010,7,10/16/10,6,SEC,BCS,Mississippi,4,8,Houston Nutt,@,SEC,BCS,Alabama,10,3,Nick Saban,,10,23,-13,L,0,1,0,1,55.0,u,20.5,W,,"101,821",,6,7,6,7,0,1,41,30,NR,NR,NR,NR,NR,NR,NR,3,2,Mississippi,NR,NR,NR,NR,NR,3,3,,1,1,10,11,8,1021,8,1029,NR,5,1,Alabama,7,1121,7,1085,8,6,1,,66,0.2,3.7,5.1,2.8,26,146,13,133,0,40,18,1,110,1,243,18,110,1,8,383,47.9,0,0,0,4,77,0,1,1,1,0,0,1,1,0,6,7,0,13,12,106,0,0,0,0,0,0,0,0,,59,0.4,5.4,2.9,8.8,34,126,26,100,0,25,17,0,219,2,319,17,219,2,5,191,38.2,6,125,0,3,74,0,2,2,2,0,0,4,3,0,7,6,2,15,8,52,2,1,1,4,0,0,0,0
Arizona,Washington State,Arizona-Wash St,2010,7,10/16/10,6,Pac10,BCS,Arizona,7,6,Mike Stoops,@,Pac10,BCS,Wash St,2,10,Paul Wulff,,24,7,17,W,1,0,1,0,61.0,u,-23.5,L,,"23,955",,6,7,6,7,0,1,35,29,NR,NR,17,472,20,367,NR,4,1,Arizona,15,619,18,494,18,5,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,5,Wash St,NR,NR,NR,NR,NR,1,6,,74,0.3,4.8,3.0,7.8,47,189,47,142,3,27,20,1,210,0,352,20,210,0,5,214,42.8,0,0,0,1,20,0,3,3,3,0,0,1,1,0,9,13,0,22,2,20,1,0,2,0,0,0,0,0,,66,0.1,4.5,1.2,8.0,34,111,71,40,0,32,18,2,257,1,297,18,257,1,5,206,41.2,4,18,0,4,73,0,1,1,1,0,0,1,0,0,4,10,1,15,4,30,2,2,1,0,0,0,0,0
Washington State,Arizona,Arizona-Wash St,2010,7,10/16/10,7,Pac10,BCS,Wash St,2,10,Paul Wulff,vs,Pac10,BCS,Arizona,7,6,Mike Stoops,,7,24,-17,L,0,1,0,1,61.0,u,23.5,W,,"23,955",,6,7,6,7,0,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,5,Wash St,NR,NR,NR,NR,NR,1,6,,35,29,NR,NR,17,472,20,367,NR,4,1,Arizona,15,619,18,494,18,5,1,,66,0.1,4.5,1.2,8.0,34,111,71,40,0,32,18,2,257,1,297,18,257,1,5,206,41.2,4,18,0,4,73,0,1,1,1,0,0,1,0,0,4,10,1,15,4,30,2,2,1,0,0,0,0,0,,74,0.3,4.8,3.0,7.8,47,189,47,142,3,27,20,1,210,0,352,20,210,0,5,214,42.8,0,0,0,1,20,0,3,3,3,0,0,1,1,0,9,13,0,22,2,20,1,0,2,0,0,0,0,0
Arkansas State,Indiana,Arkansas St-Indiana,2010,7,10/16/10,7,SunBelt,non,Arkansas St,4,8,Steve Roberts,@,Big10,BCS,Indiana,5,7,Bill Lynch,,34,36,-2,L,0,1,0,0,65.0,o,10.0,W,,"40,480",,6,7,6,7,0,1,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,4,Arkansas St,NR,NR,NR,NR,NR,2,5,,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,2,Indiana,NR,NR,NR,NR,NR,4,2,,68,0.5,5.0,2.8,6.0,22,76,15,61,3,46,35,2,276,2,337,35,276,2,4,189,47.3,3,0,0,7,223,0,5,4,4,1,0,1,0,0,4,13,2,19,10,92,2,1,0,0,0,1,6,0,,77,0.5,6.4,3.2,9.1,35,134,21,113,0,42,26,0,382,4,495,26,382,4,4,140,35.0,0,0,0,4,121,0,4,3,3,1,0,3,3,0,6,15,4,25,8,80,2,2,2,29,0,0,0,0
